date,wkday,year,daycode,month,holidays,season,weather_type,load,temp,hr_weather_type,cdd,hdd
2017-01-01,sun,2017,0,1,1,W,mild,1.1080107205717689,70,mild,5,0
2017-01-02,mon,2017,1,1,0,W,mild,1.2554544368761167,67,mild,2,0
2017-01-03,twt,2017,2,1,1,W,mild,1.074133511975617,70,mild,5,0
2017-01-04,twt,2017,3,1,1,W,cold,1.3283079668014268,52,cold,0,8
2017-01-05,twt,2017,4,1,1,W,cold,1.2225491832038633,56,cold,0,4
2017-01-06,fri,2017,5,1,1,W,cold,2.372107280331352,34,xcold,0,26
2017-01-07,sat,2017,6,1,1,W,cold,1.9285896001931648,38,xcold,0,22
2017-01-08,sun,2017,0,1,1,W,cold,1.7252392976278241,44,xcold,0,16
2017-01-09,mon,2017,1,1,1,W,cold,1.1396303768807476,65,mild,0,0
2017-01-10,twt,2017,2,1,1,W,mild,1.0337076794254374,72,hot,7,0
2017-01-11,twt,2017,3,1,1,W,hot,1.074354179357143,73,hot,8,0
2017-01-12,twt,2017,4,1,1,W,hot,1.1288395507907045,72,hot,7,0
2017-01-13,fri,2017,5,1,1,W,mild,1.0567726875013301,68,mild,3,0
2017-01-14,sat,2017,6,1,1,W,mild,1.0585462611188294,65,mild,0,0
2017-01-15,sun,2017,0,1,1,W,mild,1.2032651493878215,70,mild,5,0
2017-01-16,mon,2017,1,1,0,W,hot,1.3318915812573118,73,hot,8,0
2017-01-17,twt,2017,2,1,1,W,mild,1.0587690495874187,63,mild,0,0
2017-01-18,twt,2017,3,1,1,W,mild,1.0894831753780991,64,mild,0,0
2017-01-19,twt,2017,4,1,1,W,mild,1.0103161164465762,66,mild,1,0
2017-01-20,fri,2017,5,1,1,W,mild,1.0006792561277662,70,mild,5,0
2017-01-21,sat,2017,6,1,1,W,mild,1.11857067050959,73,hot,8,0
2017-01-22,sun,2017,0,1,1,W,mild,1.1662950734600177,64,mild,0,0
2017-01-23,mon,2017,1,1,1,W,mild,1.002304809619947,67,mild,2,0
2017-01-24,twt,2017,2,1,1,W,mild,1.0585634595820543,71,hot,6,0
2017-01-25,twt,2017,3,1,1,W,mild,1.0315154916969607,67,mild,2,0
2017-01-26,twt,2017,4,1,1,W,cold,1.1201615083633951,54,cold,0,6
2017-01-27,fri,2017,5,1,1,W,cold,1.2650320218249118,53,cold,0,7
2017-01-28,sat,2017,6,1,1,W,cold,1.1169359956212566,58,cold,0,2
2017-01-29,sun,2017,0,1,1,W,cold,1.1963254046922174,65,mild,0,0
2017-01-30,mon,2017,1,1,1,W,cold,1.0488603265759573,70,mild,5,0
2017-01-31,twt,2017,2,1,1,W,mild,1.0011151559830562,69,mild,4,0
2017-02-01,twt,2017,3,2,1,W,mild,1.0455591815827838,72,hot,7,0
2017-02-02,twt,2017,4,2,1,W,mild,1.036446388881213,67,mild,2,0
2017-02-03,fri,2017,5,2,1,W,cold,0.9600504967314653,60,cold,0,0
2017-02-04,sat,2017,6,2,1,W,cold,1.084245040273629,59,cold,0,1
2017-02-05,sun,2017,0,2,1,W,mild,1.1619270718745625,72,hot,7,0
2017-02-06,mon,2017,1,2,1,W,hot,1.212307737071241,73,hot,8,0
2017-02-07,twt,2017,2,2,1,W,hot,1.3523833578385402,80,hot,15,0
2017-02-08,twt,2017,3,2,1,W,hot,1.4452780858870733,85,xxhot,20,0
2017-02-09,twt,2017,4,2,1,W,mild,0.9382198961663758,66,mild,1,0
2017-02-10,fri,2017,5,2,1,W,mild,0.9193451586879907,71,hot,6,0
2017-02-11,sat,2017,6,2,1,W,hot,1.246651351875836,76,hot,11,0
2017-02-12,sun,2017,0,2,1,W,hot,1.6459825526783949,76,hot,11,0
2017-02-13,mon,2017,1,2,1,W,mild,1.1299877905575582,67,mild,2,0
2017-02-14,twt,2017,2,2,1,W,mild,0.9826331395941861,58,cold,0,2
2017-02-15,twt,2017,3,2,1,W,cold,1.0475217772883276,61,mild,0,0
2017-02-16,twt,2017,4,2,1,W,cold,0.9290424168126089,64,mild,0,0
2017-02-17,fri,2017,5,2,1,W,cold,0.9216177074046444,61,mild,0,0
2017-02-18,sat,2017,6,2,1,W,mild,1.11178722703164,75,hot,10,0
2017-02-19,sun,2017,0,2,1,W,hot,1.312892597990421,73,hot,8,0
2017-02-20,mon,2017,1,2,0,W,mild,1.0764050996299623,61,mild,0,0
2017-02-21,twt,2017,2,2,1,W,mild,0.9798670337847625,74,hot,9,0
2017-02-22,twt,2017,3,2,1,W,mild,1.1269032731042572,79,hot,14,0
2017-02-23,twt,2017,4,2,1,W,mild,1.070674096024602,72,hot,7,0
2017-02-24,fri,2017,5,2,1,W,hot,1.0796744648336223,80,hot,15,0
