,daycode,month,holidays,season,weather_type,load,temp,hr_weather_type,cdd,hdd
0,0,1,1,3,2,1.1080107205717689,70,2,5,0
1,1,1,0,3,2,1.255454436876117,67,2,2,0
2,2,1,1,3,2,1.074133511975617,70,2,5,0
3,3,1,1,3,0,1.3283079668014268,52,0,0,8
4,4,1,1,3,0,1.2225491832038633,56,0,0,4
5,5,1,1,3,0,2.372107280331352,34,3,0,26
6,6,1,1,3,0,1.9285896001931648,38,3,0,22
7,0,1,1,3,0,1.725239297627824,44,3,0,16
8,1,1,1,3,0,1.1396303768807476,65,2,0,0
9,2,1,1,3,2,1.0337076794254374,72,1,7,0
10,3,1,1,3,1,1.074354179357143,73,1,8,0
11,4,1,1,3,1,1.1288395507907043,72,1,7,0
12,5,1,1,3,2,1.05677268750133,68,2,3,0
13,6,1,1,3,2,1.0585462611188294,65,2,0,0
14,0,1,1,3,2,1.2032651493878217,70,2,5,0
15,1,1,0,3,1,1.3318915812573118,73,1,8,0
16,2,1,1,3,2,1.058769049587419,63,2,0,0
17,3,1,1,3,2,1.0894831753780991,64,2,0,0
18,4,1,1,3,2,1.0103161164465762,66,2,1,0
19,5,1,1,3,2,1.0006792561277662,70,2,5,0
20,6,1,1,3,2,1.1185706705095901,73,1,8,0
21,0,1,1,3,2,1.1662950734600177,64,2,0,0
22,1,1,1,3,2,1.0023048096199472,67,2,2,0
23,2,1,1,3,2,1.0585634595820543,71,1,6,0
24,3,1,1,3,2,1.0315154916969609,67,2,2,0
25,4,1,1,3,0,1.1201615083633951,54,0,0,6
26,5,1,1,3,0,1.2650320218249118,53,0,0,7
27,6,1,1,3,0,1.1169359956212566,58,0,0,2
28,0,1,1,3,0,1.1963254046922174,65,2,0,0
29,1,1,1,3,0,1.0488603265759573,70,2,5,0
30,2,1,1,3,2,1.0011151559830562,69,2,4,0
31,3,2,1,3,2,1.0455591815827838,72,1,7,0
32,4,2,1,3,2,1.036446388881213,67,2,2,0
33,5,2,1,3,0,0.9600504967314653,60,0,0,0
34,6,2,1,3,0,1.084245040273629,59,0,0,1
35,0,2,1,3,2,1.1619270718745625,72,1,7,0
36,1,2,1,3,1,1.212307737071241,73,1,8,0
37,2,2,1,3,1,1.3523833578385402,80,1,15,0
38,3,2,1,3,1,1.4452780858870733,85,5,20,0
39,4,2,1,3,2,0.9382198961663758,66,2,1,0
40,5,2,1,3,2,0.9193451586879908,71,1,6,0
41,6,2,1,3,1,1.246651351875836,76,1,11,0
42,0,2,1,3,1,1.6459825526783949,76,1,11,0
43,1,2,1,3,2,1.1299877905575582,67,2,2,0
44,2,2,1,3,2,0.982633139594186,58,0,0,2
45,3,2,1,3,0,1.0475217772883276,61,2,0,0
46,4,2,1,3,0,0.9290424168126088,64,2,0,0
47,5,2,1,3,0,0.9216177074046444,61,2,0,0
48,6,2,1,3,2,1.11178722703164,75,1,10,0
49,0,2,1,3,1,1.312892597990421,73,1,8,0
50,1,2,0,3,2,1.0764050996299623,61,2,0,0
51,2,2,1,3,2,0.9798670337847624,74,1,9,0
52,3,2,1,3,2,1.1269032731042572,79,1,14,0
53,4,2,1,3,2,1.070674096024602,72,1,7,0
54,5,2,1,3,1,1.0796744648336225,80,1,15,0
55,6,2,1,3,0,0.8790288766416402,65,2,0,0
56,0,2,1,3,2,1.1491406702798959,70,2,5,0
57,1,2,1,3,1,1.266077521550144,75,1,10,0
58,2,2,1,3,1,1.3210670697751872,76,1,11,0
59,3,3,1,2,1,1.174845889825265,72,1,7,0
60,4,3,1,2,0,0.8833640802907476,64,2,0,0
